"plot","CWM_statut","CWM_stade_saprox","CWM_dbh","FDis_statut","FDis_stade_saprox","FDis_dbh","FRic","FDiv","FEve","FDis"
"COMU4B1.1",2.79223730452939,2.90545476069275,42.5434441463674,0.406421998203563,0.189087771963139,0.575131508376185,0.0265849513698354,0.857432010016875,0.919223305956269,0.171606367222924
"COMU4B1.3",2.69754673627131,2.57575757575758,33.4052448565633,0.582266097994879,0.53952401369291,0.336729368983832,0.00293829004181347,0.881069980054438,0.844767537800751,0.0544210363084101
"FOU1A1",2.90675933700065,3,29.1194480784514,0.198198066001452,1.11022302462516e-16,0.0065746019609425,0,0,0,0.125365599824348
"FOU2A1",2.96403828745577,2.33333333333333,59.9381351361647,0.0800998686920936,0.490845155314602,1.00305891080093,0.0100259986088639,0.798097659200198,0.933340401657305,0.102116777526262
"FOU4B2.1",2.86227349462558,2.84810126582278,39.5627529108284,0.290596584306338,0.284550195790455,0.50877926525978,0.0265849513698354,0.571115424661696,0.845340250046146,0.0570295415914389
"GOU3B1",2.77295157900134,3,43.6212751490167,0.454606345902854,1.25075758470429e-16,0.4342908217445,0.0143336816920353,0.600955536245881,0.837699113281429,0.0419787527839423
"GOU4B1",2.93845995543343,2.76923076923077,56.4693323414522,0.134264414860457,0.392095242411073,0.70905018484663,0.0890569244570801,0.908444621154547,0.84713101332099,0.178778670975231
"HEC3A1",2.85059038739353,3,49.9244559669003,0.300046162024533,1.11022302462516e-16,0.621092283166865,0.018933054218574,0.654742937130596,0.926490630559926,0.152022082763341
"HECGF1A3",2.84222870899658,3,42.0737088838953,0.313738519771423,0,0.545255132280437,0.0171116160739183,0.697847224779758,0.824203158956701,0.223936215314571
"HECGF2A2",2.93922647272532,1.62290875317651,44.9106591993195,0.129789261017119,0.739617075063313,0.653153555240437,0.0641382222062884,0.742399934321265,0.530803016412509,0.116650892002729
"ILH2A1",2.89201896520814,2.14191812068426,50.8621653848078,0.228347182386119,0.69935382229415,1.14923158014437,0.0615648797163935,0.898656525147865,0.881366854933126,0.253476318148387
"MER2B1",2.92764366188982,2.19887547125928,49.752819930107,0.154494913377817,1.06072091142801,0.416212071924542,0.0600895735295931,0.911651059523721,0.71998920640549,0.152035688800072
"MER4B1.2",2.97500613628244,2.55555555555556,33.9287737317149,0.0555305150821524,0.545383505905113,0.366379318456302,0.0949969910074244,0.796896431170935,0.749668945032563,0.166441953890147
"NISE1A1",2.91256607344715,3,30.1639928698752,0.18923064100416,2.01858731750028e-17,0.105061056512654,0,0,0,0.0904741546452777
"NISE1A2",2.85179565728516,3,34.254116923857,0.305188714478827,1.11022302462516e-16,0.471863416429646,0.0845303946267738,0.787529386614582,0.829743560967199,0.246578443593532
"NISE1A3",2.87700838432359,2.63479232076808,38.3284368532938,0.257391387976,0.512069121250531,0.52434031951464,0.0534246278254518,0.982948681262349,0.877611604241959,0.189568498950179
